Process Name,Count
System Idle Process,1
System,1
AggregatorHost.exe,1
,1
LsaIso.exe,1
Registry,1
lsass.exe,1
smss.exe,1
svchost.exe,88
csrss.exe,2
Code.exe,12
wininit.exe,1
SCNotification.exe,1
services.exe,1
winlogon.exe,1
WUDFHost.exe,4
fontdrvhost.exe,2
SgrmBroker.exe,1
kass.exe,1
dwm.exe,1
SenseCE.exe,1
taskhostw.exe,2
conhost.exe,13
IntelCpHDCPSvc.exe,1
explorer.exe,1
NisSrv.exe,1
sihost.exe,1
ZSATrayManager.exe,1
MemCompression,1
powershell.exe,8
FileCoAuth.exe,1
wlanext.exe,1
spoolsv.exe,1
SenseTVM.exe,1
OneApp.IGCC.WinService.exe,1
ELANFPService.exe,1
IntelAudioService.exe,1
ipfsvc.exe,1
jhi_service.exe,1
mysqld.exe,2
SMSvcHost.exe,1
RstMwService.exe,1
ipf_uf.exe,1
RtkAudUService64.exe,3
MsSense.exe,1
CcmExec.exe,1
SecurityHealthService.exe,1
WMIRegistrationService.exe,1
MsMpEng.exe,1
TbtP2pShortcutService.exe,1
ZSAService.exe,1
BioIso.exe,1
msedge.exe,8
SearchIndexer.exe,1
ctfmon.exe,1
dllhost.exe,2
CmRcService.exe,1
WmiPrvSE.exe,6
mongod.exe,1
agentmonitor.exe,1
aeagent.exe,1
ipf_helper.exe,1
ACCSvc.exe,1
keyacc32.exe,1
UserOOBEBroker.exe,1
RuntimeBroker.exe,6
dasHost.exe,1
SecurityHealthSystray.exe,1
SearchApp.exe,2
StartMenuExperienceHost.exe,1
GoogleCrashHandler.exe,1
GoogleCrashHandler64.exe,1
LockApp.exe,1
ZSAUpm.exe,1
PhoneExperienceHost.exe,1
ZSATray.exe,1
ZSATunnel.exe,1
Microsoft.Management.Services.IntuneWindowsAgent.exe,1
TextInputHost.exe,1
OneDrive.exe,1
Teams.exe,9
ShellExperienceHost.exe,1
ApplicationFrameHost.exe,1
QASvc.exe,1
QAAgent.exe,1
uhssvc.exe,1
QAAdminAgent.exe,1
unsecapp.exe,1
SystemSettings.exe,1
python.exe,2
CompPkgSrv.exe,1
pacjsworker.exe,1
SenseIR.exe,1
SenseNdr.exe,1
